URL,File Size,Number of Outlink,Content Type
https://www.nytimes.com/ca/section/t-magazine/entertainment,491137,90,text/html
https://www.nytimes.com/2021/09/15/t-magazine/coach-new-york-fashion-week.html,614043,51,text/html
https://www.nytimes.com/2021/08/18/technology/personaltech/coronavirus-reopenings-smartphones-apps.html,501279,87,text/html
https://www.nytimes.com/2021/07/14/technology/personaltech/right-to-repair-iphones-android.html,459614,57,text/html
https://www.nytimes.com/2021/08/20/world/asia/afghanistan-facebook.html,275734,46,text/html
https://www.nytimes.com/2019/12/18/technology/personaltech/technology-times-journalists-use.html,362965,53,text/html
https://www.nytimes.com/2019/11/13/technology/personaltech/data-journalism-economics.html,367847,47,text/html
https://www.nytimes.com/2021/07/16/books/new-crime-mysteries.html,370498,48,text/html
https://www.nytimes.com/2021/05/06/books/new-mystery-crime-fiction-laura-dave.html,363435,47,text/html
https://www.nytimes.com/2021/09/02/arts/new-mysteries-and-crime-fiction.html,352776,42,text/html
https://www.nytimes.com/2021/06/11/books/new-mysteries-james-ellroy.html,363921,50,text/html
https://www.nytimes.com/2021/05/21/books/new-mystery-novels.html,358414,46,text/html
https://www.nytimes.com/2021/08/19/books/new-mysteries-and-crime-novels.html,355059,46,text/html
https://www.nytimes.com/2021/06/25/books/review/new-mystery-novels.html,339510,48,text/html
https://www.nytimes.com/2021/08/06/books/review/new-crime-fiction-and-mysteries.html,377037,52,text/html
https://www.nytimes.com/2021/07/09/books/new-mystery-novels.html,366587,47,text/html
https://www.nytimes.com/by/jori-finkel,252552,53,text/html
https://www.nytimes.com/interactive/2021/us/levy-florida-covid-cases.html,1112148,202,text/html
https://www.nytimes.com/interactive/2021/us/gilchrist-florida-covid-cases.html,1149546,203,text/html
https://www.nytimes.com/interactive/2021/us/taylor-florida-covid-cases.html,1207904,201,text/html
https://www.nytimes.com/interactive/2021/us/lafayette-florida-covid-cases.html,1184903,202,text/html
https://www.nytimes.com/interactive/2021/us/essex-massachusetts-covid-cases.html,1058907,200,text/html
https://www.nytimes.com/interactive/2021/us/suffolk-massachusetts-covid-cases.html,1084390,198,text/html
https://www.nytimes.com/interactive/2021/us/bristol-massachusetts-covid-cases.html,1085453,199,text/html
https://www.nytimes.com/interactive/2021/us/plymouth-massachusetts-covid-cases.html,1058808,198,text/html
https://www.nytimes.com/interactive/2021/us/worcester-massachusetts-covid-cases.html,1128926,204,text/html
https://www.nytimes.com/interactive/2021/us/hampshire-massachusetts-covid-cases.html,1154825,200,text/html
https://www.nytimes.com/interactive/2021/us/berkshire-massachusetts-covid-cases.html,1190951,202,text/html
https://www.nytimes.com/interactive/2021/us/dukes-massachusetts-covid-cases.html,1024174,197,text/html
https://www.nytimes.com/interactive/2021/us/franklin-massachusetts-covid-cases.html,1139349,201,text/html
https://www.nytimes.com/interactive/2021/us/hampden-massachusetts-covid-cases.html,1172301,199,text/html
https://www.nytimes.com/column/new-paperback-releases,322436,64,text/html
https://www.nytimes.com/2020/06/02/books/review/next-great-migration-sonia-shah.html,309433,55,text/html
https://www.nytimes.com/2020/08/25/books/review/sisters-daisy-johnson.html,289286,54,text/html
https://www.nytimes.com/2019/12/04/books/review/this-is-happiness-niall-williams.html,288404,56,text/html
https://www.nytimes.com/2020/10/27/books/review/red-comet-heather-clark-sylvia-plath.html,382439,60,text/html
https://www.nytimes.com/2020/10/01/books/review/his-very-best-jonathan-alter.html,317878,54,text/html
https://www.nytimes.com/2020/09/01/books/review/self-portrait-with-russian-piano-wolf-wondratschek.html,276347,52,text/html
https://www.nytimes.com/2019/08/27/smarter-living/wirecutter/why-you-need-a-password-manager-yes-you.html?action=click&module=relatedlinks&pgtype=article,302408,53,text/html
https://www.nytimes.com/by/brian-x-chen,378470,55,text/html
https://www.nytimes.com/2019/10/15/technology/personaltech/google-pixel-photography.html,407722,45,text/html
https://www.nytimes.com/2021/04/14/technology/apple-tech-event.html,372872,65,text/html
https://www.nytimes.com/wirecutter/reviews/best-android-phone/,392490,261,text/html
https://www.nytimes.com/2021/04/26/technology/personaltech/apple-app-tracking-transparency.html,456498,54,text/html
https://www.nytimes.com/es/2020/05/08/espanol/ciencia-y-tecnologia/iphone-se.html,407252,57,text/html
https://www.nytimes.com/2019/10/04/smarter-living/10-tips-internet-privacy-crowdwise.html,453478,60,text/html
https://www.nytimes.com/interactive/2021/us/stafford-kansas-covid-cases.html,1543556,199,text/html
https://www.nytimes.com/interactive/2021/us/mitchell-kansas-covid-cases.html,1592438,200,text/html
https://www.nytimes.com/2021/01/13/technology/personaltech/smartphone-camera-do-more.html,445079,72,text/html
